latitude,longitude,turbidez,clorofila,data,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
-18.48928,-45.42733,,1.07,2018-11-21,464.0,557.0,230.0,201.0,149.0,106.0,-0.06728538283062645,-0.21372031662269128,-58.95555555555555,0.6802413273001509,1.2004310344827587,0.4129263913824057,0.8739130434782608,2018-12-18,8.252701,12.0,1.0
-18.57222,-45.26083,,3.2,2018-11-21,389.0,554.0,224.0,193.0,140.0,119.0,-0.07434052757793765,-0.23076923076923078,-65.33333333333334,0.6463595839524517,1.424164524421594,0.4043321299638989,0.8616071428571429,2018-12-18,8.252701,12.0,1.0
-18.8325,-45.13306,,1.07,2018-11-22,517.0,644.0,402.0,381.0,310.0,290.0,-0.02681992337164751,-0.12921348314606743,-72.0888888888889,0.37901498929336186,1.2456479690522244,0.6242236024844721,0.9477611940298507,2018-12-18,8.252701,12.0,1.0
-18.89833,-45.12083,,1.07,2018-11-22,674.0,1094.0,1100.0,943.0,347.0,211.0,-0.07684777288301517,-0.520387007601935,-594.9555555555555,0.6766283524904214,1.6231454005934718,1.0054844606946984,0.8572727272727273,2018-12-18,8.252701,12.0,1.0
-18.48928,-45.42733,,1.07,2019-02-27,283.0,338.0,123.0,103.0,60.0,24.0,-0.08849557522123894,-0.3442622950819672,-45.400000000000006,0.8674033149171271,1.1943462897526502,0.363905325443787,0.8373983739837398,2019-03-08,0.245998,3.0,2.0
-18.22376,-45.26183,,1.07,2019-02-27,305.0,379.0,119.0,95.0,57.0,33.0,-0.11214953271028037,-0.3522727272727273,-46.71111111111111,0.8398058252427184,1.2426229508196722,0.31398416886543534,0.7983193277310925,2019-03-08,0.245998,3.0,2.0
-18.57222,-45.26083,,1.07,2019-02-27,279.0,445.0,142.0,114.0,57.0,30.0,-0.109375,-0.4271356783919598,-65.08888888888889,0.8736842105263158,1.5949820788530467,0.31910112359550563,0.8028169014084507,2019-03-08,0.245998,3.0,2.0
-18.88812,-45.20045,,1.07,2019-02-28,304.0,576.0,209.0,174.0,46.0,17.0,-0.09138381201044386,-0.6392156862745098,-128.86666666666667,0.9426644182124789,1.894736842105263,0.3628472222222222,0.8325358851674641,2019-03-08,0.245998,3.0,2.0
-18.8325,-45.13306,,1.07,2019-02-28,252.0,425.0,164.0,124.0,46.0,36.0,-0.1388888888888889,-0.5619047619047619,-95.24444444444444,0.8438177874186551,1.6865079365079365,0.38588235294117645,0.7560975609756098,2019-03-08,0.245998,3.0,2.0
-18.89833,-45.12083,,1.07,2019-02-28,326.0,631.0,260.0,222.0,39.0,20.0,-0.07883817427385892,-0.7391304347826086,-178.33333333333334,0.9385560675883257,1.9355828220858895,0.4120443740095087,0.8538461538461538,2019-03-08,0.245998,3.0,2.0
-18.48928,-45.42733,,1.07,2019-05-21,670.0,1084.0,628.0,425.0,115.0,18.0,-0.19278252611585944,-0.6904441453566622,-404.55555555555554,0.9673321234119783,1.617910447761194,0.5793357933579336,0.6767515923566879,2019-06-06,0.009675,6.0,3.0
-18.22376,-45.26183,,1.07,2019-05-21,426.0,568.0,239.0,161.0,66.0,37.0,-0.195,-0.5672131147540984,-137.0888888888889,0.8776859504132232,1.3333333333333333,0.42077464788732394,0.6736401673640168,2019-06-06,0.009675,6.0,3.0
-18.57222,-45.26083,,1.07,2019-05-22,217.0,309.0,127.0,83.0,47.0,14.0,-0.20952380952380953,-0.45977011494252873,-59.91111111111111,0.913312693498452,1.423963133640553,0.4110032362459547,0.6535433070866141,2019-06-06,0.009675,6.0,3.0
-18.89833,-45.12083,,1.07,2019-05-22,224.0,403.0,139.0,89.0,34.0,15.0,-0.21929824561403508,-0.6069364161849711,-82.95555555555555,0.9282296650717703,1.7991071428571428,0.34491315136476425,0.6402877697841727,2019-06-06,0.009675,6.0,3.0
