Parâmetro,PONTO,DATA,UN.,RESULT.
DBO ,CLA-02,2018-03-20,mg/L,
DQO,CLA-02,2018-03-20,mg/L,
Dureza Total ,CLA-02,2018-03-20,mg/L,10.0
Potássio Total ,CLA-02,2018-03-20,mg/L,0.0
Ferro Dissolvido,CLA-02,2018-03-20,mg/L,0.153
Fósforo Total ,CLA-02,2018-03-20,mg/L,1.13
Manganês Total ,CLA-02,2018-03-20,mg/L,0.0
Nitrogênio Amoniacal ,CLA-02,2018-03-20,mg/L,
Nitrato ,CLA-02,2018-03-20,mg/L,0.071
Nitrito ,CLA-02,2018-03-20,mg/L,0.001
Nitrogênio total,CLA-02,2018-03-20,mg/L,
Óleos e Graxas,CLA-02,2018-03-20,mg/L,0.0
Oxigênio Dissolvido,CLA-02,2018-03-20,mg/L,5.0
pH,CLA-02,2018-03-20,mg/L,7.32
Sólidos Dissolvidos,CLA-02,2018-03-20,mg/L,12.0
Sulfato Total,CLA-02,2018-03-20,mg/L,12.54
Temperatura da Água,CLA-02,2018-03-20,°C,28.4
Transparência da Água,CLA-02,2018-03-20,m,
Turbidez,CLA-02,2018-03-20,NTU,20.2
Coliformes Totais,CLA-02,2018-03-20,NMP/100mL,4.0
Escherichia coli,CLA-02,2018-03-20,NPM/100mL,0.0
Clorofila a,CLA-02,2018-03-20,μg/L,1.3
Alcalinidade Total,CLA-03,2018-03-20,mg/L,12.0
Alumínio Dissolvido ,CLA-03,2018-03-20,mg/L,0.0
Cloreto Total ,CLA-03,2018-03-20,mg/L,6.0
Cobre Dissolvido ,CLA-03,2018-03-20,mg/L,0.0
Condutividade Elétrica,CLA-03,2018-03-20,μS/cm,25.0
Cor Verdadeira ,CLA-03,2018-03-20,UC,10.5
DBO ,CLA-03,2018-03-20,mg/L,
DQO,CLA-03,2018-03-20,mg/L,
Dureza Total ,CLA-03,2018-03-20,mg/L,8.0
Potássio Total ,CLA-03,2018-03-20,mg/L,0.0
Ferro Dissolvido,CLA-03,2018-03-20,mg/L,0.148
Fósforo Total ,CLA-03,2018-03-20,mg/L,1.16
Manganês Total ,CLA-03,2018-03-20,mg/L,0.1
Nitrogênio Amoniacal ,CLA-03,2018-03-20,mg/L,
Nitrato ,CLA-03,2018-03-20,mg/L,0.08
Nitrito ,CLA-03,2018-03-20,mg/L,0.0
Nitrogênio total,CLA-03,2018-03-20,mg/L,
Óleos e Graxas,CLA-03,2018-03-20,mg/L,0.0
Oxigênio Dissolvido,CLA-03,2018-03-20,mg/L,5.0
pH,CLA-03,2018-03-20,mg/L,7.21
Sólidos Dissolvidos,CLA-03,2018-03-20,mg/L,12.0
Sulfato Total,CLA-03,2018-03-20,mg/L,14.32
Temperatura da Água,CLA-03,2018-03-20,°C,28.5
Transparência da Água,CLA-03,2018-03-20,m,
Turbidez,CLA-03,2018-03-20,NTU,23.5
Coliformes Totais,CLA-03,2018-03-20,NMP/100mL,70.0
Escherichia coli,CLA-03,2018-03-20,NPM/100mL,2.6
Clorofila a,CLA-03,2018-03-20,μg/L,2.4
Alcalinidade Total,CLA-04,2018-03-21,mg/L,20.0
Alumínio Dissolvido ,CLA-04,2018-03-21,mg/L,0.004
Cloreto Total ,CLA-04,2018-03-21,mg/L,22.0
Cobre Dissolvido ,CLA-04,2018-03-21,mg/L,0.0
Condutividade Elétrica,CLA-04,2018-03-21,μS/cm,104.0
Cor Verdadeira ,CLA-04,2018-03-21,UC,12.4
DBO ,CLA-04,2018-03-21,mg/L,
DQO,CLA-04,2018-03-21,mg/L,
Dureza Total ,CLA-04,2018-03-21,mg/L,6.0
Potássio Total ,CLA-04,2018-03-21,mg/L,0.0
Ferro Dissolvido,CLA-04,2018-03-21,mg/L,0.27
Fósforo Total ,CLA-04,2018-03-21,mg/L,1.18
Manganês Total ,CLA-04,2018-03-21,mg/L,0.16
Nitrogênio Amoniacal ,CLA-04,2018-03-21,mg/L,
Nitrato ,CLA-04,2018-03-21,mg/L,0.097
Nitrito ,CLA-04,2018-03-21,mg/L,0.011
Nitrogênio total,CLA-04,2018-03-21,mg/L,
Óleos e Graxas,CLA-04,2018-03-21,mg/L,0.0
Oxigênio Dissolvido,CLA-04,2018-03-21,mg/L,5.0
pH,CLA-04,2018-03-21,mg/L,7.31
Sólidos Dissolvidos,CLA-04,2018-03-21,mg/L,52.0
Sulfato Total,CLA-04,2018-03-21,mg/L,15.0
Temperatura da Água,CLA-04,2018-03-21,°C,24.5
