PONTO,DATA,Clorofila a,Transparência da Água,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Sedimentáveis,Sólidos Suspensos Totais,Sólidos Totais,Turbidez,Latitude,Longitude
CLA-03,2023-07-25,1.0,3.2,,16.0,,,28.0,1.62,-18.528218997966466,-51.15191904306638
CLA-04,2023-07-25,1.0,3.5,,16.0,,,22.0,2.83,-18.554869066877227,-51.12675459317855
CLA-05,2023-07-25,1.0,3.0,,124.0,,,136.0,5.48,-18.55495622601502,-51.12622947820932
CLA-06,2023-07-25,1.0,2.5,,20.0,,,88.0,2.04,-18.569842526616718,-51.10807692400981
CLA-06B,2023-07-25,2.67,3.0,,18.0,,,42.0,4.21,-18.580416304138193,-51.10538491999489
CLA-07,2023-07-25,1.0,2.5,,18.0,,,30.0,2.87,-18.64469238815568,-51.05218482324302
CLA-08,2023-07-25,1.0,3.0,,20.0,,,50.0,2.43,-18.706763370925028,-51.008782838537705
CLA-08CS,2023-07-25,1.0,2.5,,18.0,,,98.0,2.26,-18.658334892800493,-51.06757829218299
CLA-09,2023-07-25,1.0,0.8,,18.0,,,30.0,2.92,-18.732783800131944,-51.003284514940056
CLA-ETE,2023-07-25,1.0,0.6,,24.0,0.1,10.0,38.0,5.48,-18.567897827162238,-51.110681871352824
CLA-01,2023-10-04,3.004,1.0,,18.0,,,24.0,17.7,-18.40471469720768,-51.22287716980235
CLA-02,2023-10-04,1.0,2.0,,18.0,,,24.0,3.14,-18.478620867606217,-51.188607926708855
CLA-03,2023-10-04,5.34,2.0,,18.0,,,22.0,3.19,-18.528218997966466,-51.15191904306638
CLA-04,2023-10-04,3.671,4.0,,266.0,,,350.0,2.58,-18.554869066877227,-51.12675459317855
CLA-05,2023-10-04,1.0,1.5,,294.0,,,306.0,9.17,-18.55495622601502,-51.12622947820932
CLA-06,2023-10-04,7.676,4.0,,22.0,,,30.0,3.15,-18.569842526616718,-51.10807692400981
CLA-06B,2023-10-04,1.0,5.0,,20.0,,,28.0,1.29,-18.580416304138193,-51.10538491999489
CLA-07,2023-10-04,3.338,4.0,,20.0,,,38.0,2.65,-18.64469238815568,-51.05218482324302
CLA-08,2023-10-04,1.0,5.0,,22.0,,,34.0,1.75,-18.706763370925028,-51.008782838537705
CLA-08CS,2023-10-04,1.0,4.5,,20.0,,,28.0,1.41,-18.658334892800493,-51.06757829218299
CLA-01,2024-01-20,1.0,0.7,,14.0,,,16.0,22.3,-18.40471469720768,-51.22287716980235
CLA-02,2024-01-20,1.0,1.0,,14.0,,,70.0,10.4,-18.478620867606217,-51.188607926708855
CLA-03,2024-01-20,1.669,1.4,,14.0,,,64.0,8.0,-18.528218997966466,-51.15191904306638
CLA-04,2024-01-20,3.338,2.5,,16.0,,,46.0,19.8,-18.554869066877227,-51.12675459317855
CLA-05,2024-01-20,1.0,0.5,,146.0,,,158.0,17.2,-18.55495622601502,-51.12622947820932
CLA-06,2024-01-20,1.0,0.9,,16.0,,,40.0,17.5,-18.569842526616718,-51.10807692400981
CLA-06B,2024-01-20,1.0,1.25,,16.0,,,108.0,8.28,-18.580416304138193,-51.10538491999489
CLA-07,2024-01-20,1.0,2.5,,16.0,,,28.0,4.3,-18.64469238815568,-51.05218482324302
CLA-08,2024-01-20,1.0,2.5,,20.0,,,82.0,3.34,-18.706763370925028,-51.008782838537705
CLA-08CS,2024-01-20,1.0,2.5,,18.0,,,112.0,3.54,-18.658334892800493,-51.06757829218299
